Tau FTBO,Tau FTBF,ki,kp,kd,dt,Nb de points de lecture Temp.
230,300,0.00333333,46,0,5000,10
Consigne CPU Temp,Température CPU,Heure,CPU Usage (%),CPU Frequency (MHz),Erreur,Correction dérivée,Correction intégrale,PWM signal,PWM signal clipped
70,69.9192,0:10:48,27.6923,1800,-0.0807953,-0,-1.34659,114,0
70,77.1546,0:10:53,27.6923,1800,7.15462,0,117.897,567,255
70,78.0243,0:10:58,27.6923,1800,8.02428,0,251.635,740,255
70,77.332,0:11:4,26.6667,1800,7.33204,0,373.836,831,255
70,74.7304,0:11:9,26.6667,1800,4.73041,0,452.676,790,255
70,72.23,0:11:14,26.6667,1800,2.23004,0,489.843,712,255
60,70.2755,0:11:19,1,700,10.2755,0,661.102,1253,255
60,68.0834,0:11:24,1,1800,8.08336,0,795.824,1287,255
60,67.718,0:11:29,1,700,7.71804,0,924.458,1399,255
60,66.1231,0:11:35,2.5,1800,6.12311,0,1026.51,1428,255
60,65.8662,0:11:40,2.5,700,5.86622,0,1124.28,1514,255
60,64.1847,0:11:45,2.5,1800,4.18473,0,1194.03,1506,255
60,63.2374,0:11:50,0.507614,700,3.23738,0,1247.98,1516,255
60,63.5809,0:11:55,0.507614,1800,3.58094,0,1307.66,1592,255
60,67.8035,0:12:0,0.507614,1800,7.8035,0,1437.72,1916,255
85,67.4465,0:12:6,88.3721,1800,-17.5535,-0,1145.17,-6809,0
85,65.3168,0:12:11,88.3721,1800,-19.6832,-0,817.111,-8117,0
85,66.37,0:12:16,88.3721,1800,-18.63,-0,506.611,-7943,0
85,69.8356,0:12:21,98.75,1800,-15.1644,-0,253.871,-6601,0
85,69.2569,0:12:26,98.75,1800,-15.7431,-0,-8.51462,-7130,0
85,71.5853,0:12:31,98.75,1800,-13.4147,-0,-232.093,-6282,0
85,72.3538,0:12:37,82.0809,1800,-12.6462,-0,-442.863,-6140,0
85,71.4567,0:12:42,82.0809,1100,-13.5433,-0,-668.584,-6778,0
85,69.0294,0:12:47,82.0809,1800,-15.9706,-0,-934.761,-8161,0
85,72.0008,0:12:52,83.0986,1800,-12.9992,-0,-1151.41,-7011,0
85,72.1032,0:12:57,83.0986,1800,-12.8968,-0,-1366.36,-7178,0
85,74.938,0:13:2,83.0986,1800,-10.062,-0,-1534.06,-6042,0
75,74.7345,0:13:8,60.4278,1800,-0.265495,-0,-1538.49,-1430,0
75,72.474,0:13:13,60.4278,1800,-2.52605,-0,-1580.59,-1576,0
75,71.2252,0:13:18,60.4278,1800,-3.7748,-0,-1643.5,-1697,0
60,71.9282,0:13:24,2,1800,11.9282,0,-1444.7,-775,0
60,72.4368,0:13:29,2,1800,12.4368,0,-1237.42,-545,0
60,71.5624,0:13:34,2,700,11.5624,0,-1044.71,-392,0
60,70.4035,0:13:39,2.52525,1800,10.4035,0,-871.317,-272,0
60,70.9695,0:13:44,2.52525,1800,10.9695,0,-688.492,-63,0
60,70.7338,0:13:49,2.52525,700,10.7338,0,-509.595,104,0
60,69.8337,0:13:55,3.33333,1800,9.83369,0,-345.7,226,226
60,70.182,0:14:0,3.33333,1800,10.182,0,-176.001,412,255
60,69.8759,0:14:5,3.33333,700,9.8759,0,-11.4023,562,255
60,68.2869,0:14:10,1.02041,1800,8.28689,0,126.713,627,255
60,67.4949,0:14:15,1.02041,700,7.49489,0,251.627,716,255
60,66.9287,0:14:20,1.02041,1800,6.9287,0,367.106,805,255
60,65.9955,0:14:26,1.5,700,5.99547,0,467.03,862,255
60,65.3177,0:14:31,1.5,1800,5.31775,0,555.659,920,255
60,64.7143,0:14:36,1.5,1800,4.71428,0,634.231,971,255
60,64.6052,0:14:41,1,1800,4.60523,0,710.984,1042,255
60,63.4742,0:14:46,1,700,3.47423,0,768.888,1048,255
60,62.6793,0:14:51,1,1800,2.67933,0,813.544,1056,255
60,62.6485,0:14:57,20.7071,1800,2.64854,0,857.686,1099,255
60,61.5254,0:15:2,20.7071,700,1.52536,0,883.109,1073,255
60,61.0234,0:15:7,20.7071,1800,1.02344,0,900.166,1067,255
60,60.3888,0:15:12,21.5,700,0.388847,0,906.647,1044,255
60,59.4975,0:15:17,21.5,1800,-0.502514,-0,898.272,995,255
60,59.5057,0:15:22,21.5,700,-0.494255,-0,890.034,987,255
60,58.8248,0:15:28,2.06186,1800,-1.17523,-0,870.447,936,255
60,58.1236,0:15:33,2.06186,700,-1.87643,-0,839.173,872,255
60,57.6639,0:15:38,2.06186,1800,-2.33614,-0,800.237,812,255
60,56.8387,0:15:43,1.51515,700,-3.16132,-0,747.549,722,255
60,57.2919,0:15:48,1.51515,1800,-2.70814,-0,702.413,697,255
60,56.6067,0:15:53,1.51515,700,-3.39332,-0,645.858,609,255
60,55.8564,0:15:59,6.52174,1800,-4.14363,-0,576.797,506,255
60,55.8787,0:16:4,6.52174,700,-4.12127,-0,508.109,438,255
60,55.394,0:16:9,6.52174,1800,-4.60603,-0,431.342,339,255
60,55.8812,0:16:14,1.00503,700,-4.1188,-0,362.696,293,255
60,54.8585,0:16:19,1.00503,700,-5.14148,-0,277.004,160,160
60,53.7336,0:16:24,1.00503,1800,-6.26645,-0,172.564,4,0
60,54.9847,0:16:30,1.01523,700,-5.01534,-0,88.9745,-21,0
60,54.915,0:16:35,1.01523,1800,-5.08503,-0,4.2239,-109,0
60,55.7846,0:16:40,1.01523,700,-4.2154,-0,-66.0328,-139,0
60,55.6281,0:16:45,2.0202,700,-4.37194,-0,-138.899,-220,0
