Tau FTBO,Tau FTBF,ki,kp,kd,dt,Nb de points de lecture Temp.
230,300,0.00333333,46,0,5000,10
Consigne CPU Temp,Température CPU,Heure,CPU Usage (%),CPU Frequency (MHz),Erreur,Correction proportionnelle,P_range,Correction intégrale,PWM signal,PWM signal clipped
60,56.1858,12:17:31,1.5625,1800,-3.8142,-228.089,1.3,-63.57,-171,0
60,61.8531,12:17:36,1.5625,1800,1.85308,110.814,1.3,-32.6853,198,198
60,63.1503,12:17:41,1.5625,1800,3.15031,188.389,1.3,19.8199,328,255
60,62.2573,12:17:46,6.8323,700,2.25734,134.989,1.3,57.4422,312,255
60,61.3888,12:17:51,6.8323,1800,1.38884,83.0524,1.3,80.5894,283,255
60,61.4481,12:17:56,6.8323,1800,1.44809,86.5958,1.3,104.724,311,255
60,60.9183,12:18:2,7.29927,700,0.918312,54.9151,1.3,120.029,294,255
60,60.5244,12:18:7,7.29927,1800,0.524437,31.3613,1.3,128.77,280,255
60,60.485,12:18:12,7.29927,700,0.485046,29.0058,1.3,136.854,285,255
60,59.3123,12:18:17,1.51515,1800,-0.687691,-41.1239,1.3,125.393,204,204
60,59.5359,12:18:22,1.51515,1800,-0.464062,-27.7509,1.3,117.658,209,209
60,59.1687,12:18:27,1.51515,700,-0.831306,-49.7121,1.3,103.803,174,174
60,58.2554,12:18:33,3.5533,1800,-1.74464,-104.329,1.3,74.7259,90,0
60,58.4562,12:18:38,3.5533,1800,-1.54377,-92.3174,1.3,48.9964,76,0
60,59.1581,12:18:43,3.5533,700,-0.841881,-50.3445,1.3,34.965,104,0
60,58.6926,12:18:48,2.01005,700,-1.30738,-78.1816,1.3,13.1753,54,0
60,59.1818,12:18:53,2.01005,1800,-0.818237,-48.9306,1.3,-0.461984,70,0
60,59.5716,12:18:58,2.01005,700,-0.428417,-25.6194,1.3,-7.60227,86,0
60,60.195,12:19:4,2.52525,1800,0.194965,11.6589,1.3,-4.35285,127,127
60,60.9878,12:19:9,2.52525,1800,0.987801,59.0705,1.3,12.1105,191,191
60,60.5801,12:19:14,2.52525,700,0.580086,34.6891,1.3,21.7786,176,176
60,60.0523,12:19:19,1.52284,700,0.0523148,3.12842,1.3,22.6505,145,145
60,59.6099,12:19:24,1.52284,1800,-0.390064,-23.3258,1.3,16.1494,112,0
60,59.7118,12:19:29,1.52284,700,-0.288208,-17.2348,1.3,11.346,114,0
60,60.0142,12:19:35,2.55102,1800,0.014183,0.848146,1.3,11.5824,132,132
60,59.8496,12:19:40,2.55102,700,-0.150379,-8.99268,1.3,9.07603,120,0
60,60.0767,12:19:45,2.55102,1800,0.0766678,4.58473,1.3,10.3538,134,134
60,60.2942,12:19:50,2.01005,700,0.29417,17.5914,1.3,15.2567,152,152
60,60.5107,12:19:55,2.01005,1800,0.510723,30.5412,1.3,23.7687,174,174
60,59.7045,12:20:0,2.01005,700,-0.295521,-17.6721,1.3,18.8434,121,121
60,59.283,12:20:6,2.63158,1800,-0.717049,-42.8795,1.3,6.89256,84,0
60,60.1174,12:20:11,2.63158,700,0.117401,7.02059,1.3,8.84925,135,135
60,59.519,12:20:16,2.63158,1800,-0.480957,-28.7612,1.3,0.833297,92,0
60,60.4332,12:20:21,1.5,700,0.433208,25.9059,1.3,8.05344,153,153
60,59.9889,12:20:26,1.5,700,-0.0110703,-0.662001,1.3,7.86893,127,127
60,59.7984,12:20:31,1.5,1800,-0.201607,-12.0561,1.3,4.50882,112,0
60,60.4611,12:20:37,2.0202,700,0.461143,27.5764,1.3,12.1945,159,159
60,60.1865,12:20:42,2.0202,1800,0.186516,11.1536,1.3,15.3031,146,146
60,60.2565,12:20:47,2.0202,700,0.256458,15.3362,1.3,19.5774,154,154
60,59.7764,12:20:52,4.0404,700,-0.223553,-13.3685,1.3,15.8516,122,122
60,59.7284,12:20:57,4.0404,1800,-0.271553,-16.2389,1.3,11.3257,115,0
60,60.2107,12:21:2,4.0404,700,0.210651,12.597,1.3,14.8365,147,147
60,60.2589,12:21:8,1.51515,1800,0.258869,15.4804,1.3,19.151,154,154
60,60.6046,12:21:13,1.51515,700,0.604591,36.1546,1.3,29.2275,185,185
60,59.2269,12:21:18,1.51515,700,-0.773144,-46.234,1.3,16.3418,90,0
60,59.0891,12:21:23,1.51515,1800,-0.910912,-54.4725,1.3,1.15996,66,0
60,60.0493,12:21:28,1.51515,700,0.0493164,2.94912,1.3,1.9819,124,124
60,60.0966,12:21:33,1.51515,1800,0.0966377,5.77894,1.3,3.59253,129,129
60,60.6371,12:21:39,1.51515,1800,0.637066,38.0965,1.3,14.2103,172,172
60,60.6424,12:21:44,1.51515,700,0.642414,38.4164,1.3,24.9172,183,183
60,59.815,12:21:49,1.51515,700,-0.184956,-11.0603,1.3,21.8346,130,130
60,59.8297,12:21:54,2.0202,1800,-0.170288,-10.1832,1.3,18.9965,128,128
60,60.6104,12:21:59,2.0202,1800,0.610374,36.5004,1.3,29.1694,185,185
60,60.2014,12:22:4,2.0202,700,0.201439,12.046,1.3,32.5267,164,164
60,59.1378,12:22:10,1.51515,700,-0.86216,-51.5572,1.3,18.1574,86,0
60,59.6159,12:22:15,1.51515,1800,-0.384113,-22.97,1.3,11.7555,108,0
60,60.0046,12:22:20,1.51515,700,0.00458908,0.274427,1.3,11.832,132,132
60,59.8974,12:22:25,2.06186,1800,-0.102638,-6.13777,1.3,10.1213,123,123
60,60.4223,12:22:30,2.06186,1800,0.42234,25.256,1.3,17.1603,162,162
60,60.2313,12:22:35,2.06186,700,0.231342,13.8343,1.3,21.016,154,154
60,59.8226,12:22:41,3.04569,1800,-0.177361,-10.6062,1.3,18.06,127,127
60,59.7331,12:22:46,3.04569,700,-0.266937,-15.9628,1.3,13.6111,117,0
60,59.9676,12:22:51,3.04569,1800,-0.0323906,-1.93696,1.3,13.0712,131,131
60,59.7476,12:22:56,0.510204,700,-0.252434,-15.0955,1.3,8.86399,113,0
60,60.2126,12:23:1,0.510204,1800,0.212563,12.7112,1.3,12.4067,145,145
60,60.0643,12:23:6,0.510204,700,0.0642509,3.84221,1.3,13.4776,137,137
60,59.8546,12:23:12,3.64583,1800,-0.145367,-8.69293,1.3,11.0548,122,122
60,60.3207,12:23:17,3.64583,700,0.320667,19.1759,1.3,16.3992,155,155
60,59.8316,12:23:22,3.64583,1800,-0.168427,-10.0719,1.3,13.5921,123,123
60,60.4158,12:23:27,1.96078,700,0.41576,24.8625,1.3,20.5215,165,165
60,59.7437,12:23:32,1.96078,700,-0.256317,-15.3278,1.3,16.2495,120,0
60,59.2382,12:23:37,1.96078,1800,-0.761833,-45.5576,1.3,3.55228,77,0
60,60.259,12:23:43,2.06186,700,0.259022,15.4895,1.3,7.86931,143,143
60,59.8254,12:23:48,2.06186,1800,-0.174591,-10.4405,1.3,4.95946,114,0
60,60.6586,12:23:53,2.06186,700,0.658642,39.3868,1.3,15.9368,175,175
60,60.9855,12:23:58,5.64103,700,0.985466,58.9309,1.3,32.3613,211,211
60,61.213,12:24:3,5.64103,1800,1.21295,72.5345,1.3,52.5771,245,245
60,61.1383,12:24:8,5.64103,1800,1.1383,68.0702,1.3,71.5488,259,255
60,59.7185,12:24:14,1,700,-0.281475,-16.8322,1.3,66.8575,170,170
60,58.8947,12:24:19,1,1800,-1.10526,-66.0943,1.3,48.4366,102,0
60,59.4942,12:24:24,1,700,-0.505821,-30.2481,1.3,40.0062,129,129
60,58.8236,12:24:29,2.5,700,-1.17638,-70.3478,1.3,20.3998,70,0
60,58.7079,12:24:34,2.5,700,-1.29214,-77.2698,1.3,-1.13579,41,0
60,59.1833,12:24:39,2.5,1800,-0.816711,-48.8393,1.3,-14.7476,56,0
60,60.0587,12:24:45,2.51256,700,0.0587349,3.51235,1.3,-13.7687,109,0
60,59.6593,12:24:50,2.51256,700,-0.340721,-20.3751,1.3,-19.4474,80,0
60,60.155,12:24:55,2.51256,1800,0.155037,9.27121,1.3,-16.8635,112,0
60,60.6916,12:25:0,1,700,0.691608,41.3582,1.3,-5.33666,156,156
60,60.6479,12:25:5,1,1800,0.647865,38.7423,1.3,5.46109,164,164
60,60.7409,12:25:10,1,700,0.740894,44.3055,1.3,17.8093,182,182
60,60.9937,12:25:16,1.52284,1800,0.993694,59.4229,1.3,34.3709,213,213
60,60.4833,12:25:21,1.52284,700,0.483269,28.8995,1.3,42.4254,191,191
60,59.9452,12:25:26,1.52284,1800,-0.0547676,-3.2751,1.3,41.5126,158,158
60,59.3557,12:25:31,1.0101,700,-0.644279,-38.5279,1.3,30.7746,112,0
60,59.1994,12:25:36,1.0101,700,-0.800636,-47.8781,1.3,17.4307,89,0
60,59.9142,12:25:41,1.0101,1800,-0.085762,-5.12857,1.3,16.0013,130,130
60,59.7909,12:25:47,4.12371,1800,-0.209076,-12.5027,1.3,12.5167,120,0
60,60.1195,12:25:52,4.12371,700,0.119495,7.14582,1.3,14.5083,141,141
60,59.9089,12:25:57,4.12371,700,-0.0911446,-5.45045,1.3,12.9892,127,127
60,60.2287,12:26:2,2.03046,1800,0.228691,13.6757,1.3,16.8007,150,150
60,60.1633,12:26:7,2.03046,1800,0.163261,9.76303,1.3,19.5217,149,149
60,60.2054,12:26:12,2.03046,700,0.205433,12.2849,1.3,22.9456,155,155
60,60.2584,12:26:18,1.5544,1800,0.25835,15.4494,1.3,27.2515,162,162
60,59.874,12:26:23,1.5544,1800,-0.125957,-7.53226,1.3,25.1522,137,137
60,60.3226,12:26:28,1.5544,700,0.322601,19.2916,1.3,30.5289,169,169
60,59.0039,12:26:33,2.0202,700,-0.996136,-59.5689,1.3,13.9266,74,0
60,59.6025,12:26:38,2.0202,1800,-0.397511,-23.7711,1.3,7.30143,103,0
60,60.1494,12:26:43,2.0202,1800,0.149353,8.93131,1.3,9.79064,138,138
60,60.3988,12:26:49,1.51515,700,0.398842,23.8507,1.3,16.438,160,160
60,59.9855,12:26:54,1.51515,1800,-0.0145149,-0.867992,1.3,16.1961,135,135
60,60.0415,12:26:59,1.51515,700,0.0415459,2.48444,1.3,16.8885,139,139
60,59.5115,12:27:4,1.5544,700,-0.488544,-29.215,1.3,8.74612,99,0
60,59.4097,12:27:9,1.5544,1800,-0.590252,-35.2971,1.3,-1.09142,83,0
60,60.2275,12:27:14,1.5544,700,0.227478,13.6032,1.3,2.69988,136,136
60,60.0171,12:27:20,2.5,700,0.0170517,1.01969,1.3,2.98408,124,124
60,60.2395,12:27:25,2.5,1800,0.23951,14.3227,1.3,6.9759,141,141
60,60.067,12:27:30,2.5,700,0.0669556,4.00394,1.3,8.09183,132,132
60,60.2932,12:27:35,1.01523,1800,0.293201,17.5334,1.3,12.9785,150,150
60,59.9262,12:27:40,1.01523,1800,-0.0737724,-4.41159,1.3,11.749,127,127
60,60.3765,12:27:45,1.01523,700,0.376526,22.5162,1.3,18.0244,160,160
60,59.5937,12:27:51,1.5544,700,-0.406349,-24.2997,1.3,11.2519,106,0
